case_id,dataset_group,experiment,run,root_service,entry_service,entry_index_0based,method,graph_source,root_rank,top1,top2,top5,mrr,acc,top_services,root_score,root_path_score,root_pearson_score,root_final_score,root_in_top_paths,dycause_entry_arg,entry_arg_zero_based
extended_el_e4_mesh_run07,sockshop_mesh_extended,el_e4,run07,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,catalogue > orders > carts > user > shipping > payment,0.15056658681854884,0.013333333333333334,0.1372332534852155,0.15056658681854884,True,0,True
extended_el_e4_mesh_run07,sockshop_mesh_extended,el_e4,run07,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,catalogue > orders > carts > user > shipping > payment,0.1372332534852155,0.0,0.1372332534852155,0.1372332534852155,False,1,False
extended_el_e4_mesh_run08,sockshop_mesh_extended,el_e4,run08,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,user > catalogue > carts > orders > shipping > payment,0.48712597344012115,0.006666666666666667,0.4804593067734545,0.48712597344012115,True,0,True
extended_el_e4_mesh_run08,sockshop_mesh_extended,el_e4,run08,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,user > catalogue > carts > orders > shipping > payment,0.4804593067734545,0.0,0.4804593067734545,0.4804593067734545,False,1,False
extended_el_e4_mesh_run09,sockshop_mesh_extended,el_e4,run09,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,catalogue > carts > shipping > orders > user > payment,0.3881781824045809,0.006666666666666667,0.38151151573791425,0.3881781824045809,True,0,True
extended_el_e4_mesh_run09,sockshop_mesh_extended,el_e4,run09,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,catalogue > carts > shipping > orders > user > payment,0.3881781824045809,0.006666666666666667,0.38151151573791425,0.3881781824045809,True,1,False
extended_el_e4_mesh_run10,sockshop_mesh_extended,el_e4,run10,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,catalogue > orders > user > shipping > carts > payment,0.48504003304317667,0.0,0.48504003304317667,0.48504003304317667,False,0,True
extended_el_e4_mesh_run10,sockshop_mesh_extended,el_e4,run10,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,catalogue > orders > user > shipping > carts > payment,0.4917066997098433,0.006666666666666667,0.48504003304317667,0.4917066997098433,True,1,False
extended_el_e5_mesh_run01,sockshop_mesh_extended,el_e5,run01,orders,front-end,0,dycause_entry_0based_raw,entry_index_experiment,3,0.0,0.0,1.0,0.3333333333333333,0.7142857142857143,catalogue > user > orders > carts > payment > shipping,0.503480783489435,0.006666666666666667,0.4968141168227684,0.503480783489435,True,0,True
extended_el_e5_mesh_run01,sockshop_mesh_extended,el_e5,run01,orders,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,3,0.0,0.0,1.0,0.3333333333333333,0.7142857142857143,catalogue > user > orders > carts > payment > shipping,0.5101474501561017,0.013333333333333334,0.4968141168227684,0.5101474501561017,True,1,False
